Timestamp                	Data           	
2022-12-21 23.44.08.700	Number with Flush: 0. 	
2022-12-21 23.44.08.700	Number with Flush: 1. 	
2022-12-21 23.44.08.700	Number with Flush: 2. 	
2022-12-21 23.44.08.700	Number with Flush: 3. 	
2022-12-21 23.44.08.700	Number with Flush: 4. 	
2022-12-21 23.44.08.700	Number with Flush: 5. 	
2022-12-21 23.44.08.700	Number with Flush: 6. 	
2022-12-21 23.44.08.700	Number with Flush: 7. 	
2022-12-21 23.44.08.700	Number with Flush: 8. 	
2022-12-21 23.44.08.700	Number with Flush: 9. 	
2022-12-21 23.44.08.700	Number with Flush: 10. 	
2022-12-21 23.44.08.700	Number with Flush: 11. 	
2022-12-21 23.44.08.700	Number with Flush: 12. 	
2022-12-21 23.44.08.700	Number with Flush: 13. 	
2022-12-21 23.44.08.700	Number with Flush: 14. 	
